Biome,Season,Level,Hours to Max Level,XP / Hour,Gold / Hour,Fish / Hour,Fish Caught
Small Water Area,Spring,Starting Level,21.17,59178,17753,591,['Common (100%)']
Small Water Area,Summer,Starting Level,21.27,58900,17670,588,['Common (100%)']
Small Water Area,Autumn,Starting Level,18.38,68161,22720,454,['Uncommon (100%)']
Small Water Area,Winter,Starting Level,21.32,58762,17629,587,['Common (100%)']
Beach,Spring,Starting Level,14.77,84825,42412,403,['Rare (100%)']
Beach,Summer,Starting Level,13.44,93234,76781,182,['Legendary (100%)']
Beach,Autumn,Starting Level,14.55,86107,43054,410,['Rare (100%)']
Beach,Winter,Starting Level,14.56,86048,43024,409,['Rare (100%)']
Desert,Spring,Starting Level,11.98,104574,18301,522,['Common (100%)']
Desert,Summer,Starting Level,29.16,42963,34370,71,['Legendary (100%)']
Desert,Autumn,Starting Level,13.09,95722,22973,382,['Uncommon (100%)']
Desert,Winter,Starting Level,11.86,105632,18486,528,['Common (100%)']
Cave (Leafy),Spring,Starting Level,16.23,77192,19849,441,['Uncommon (100%)']
Cave (Leafy),Summer,Starting Level,16.15,77574,19948,443,['Uncommon (100%)']
Cave (Leafy),Autumn,Starting Level,17.57,71308,17114,570,['Common (100%)']
Cave (Leafy),Winter,Starting Level,16.23,77192,19849,441,['Uncommon (100%)']
Cave (Ice),Spring,Starting Level,17.53,71470,17153,571,['Common (100%)']
Cave (Ice),Summer,Starting Level,17.54,71430,17143,571,['Common (100%)']
Cave (Ice),Autumn,Starting Level,15.26,82102,47998,252,['Epic (100%)']
Cave (Ice),Winter,Starting Level,17.42,71922,17261,575,['Common (100%)']
Cave (Lava),Spring,Starting Level,17.13,73147,45978,208,['Epic (100%)']
Cave (Lava),Summer,Starting Level,15.62,80218,35296,320,['Rare (100%)']
Cave (Lava),Autumn,Starting Level,15.6,80321,35341,321,['Rare (100%)']
Cave (Lava),Winter,Starting Level,15.24,82218,36176,328,['Rare (100%)']
Cave (Ash),Spring,Starting Level,15.22,82313,19206,548,['Common (100%)']
Cave (Ash),Summer,Starting Level,22.04,56847,45477,103,['Legendary (100%)']
Cave (Ash),Autumn,Starting Level,15.05,83243,19423,554,['Common (100%)']
Cave (Ash),Winter,Starting Level,15.14,82748,19308,551,['Common (100%)']
Small Water Area,Spring,Mid Level 2,18.32,68384,22795,455,['Uncommon (100%)']
Small Water Area,Summer,Mid Level 2,21.22,59039,17712,590,['Common (100%)']
Small Water Area,Autumn,Mid Level 2,16.68,75108,50072,250,['Epic (100%)']
Small Water Area,Winter,Mid Level 2,21.28,58872,17662,588,['Common (100%)']
Beach,Spring,Mid Level 2,14.81,84596,42298,402,['Rare (100%)']
Beach,Summer,Mid Level 2,18.02,69522,18961,632,['Common (100%)']
Beach,Autumn,Mid Level 2,18.11,69177,18866,628,['Common (100%)']
Beach,Winter,Mid Level 2,18.1,69215,18877,629,['Common (100%)']
Desert,Spring,Mid Level 2,11.89,105366,18439,526,['Common (100%)']
Desert,Summer,Mid Level 2,12.99,96459,23150,385,['Uncommon (100%)']
Desert,Autumn,Mid Level 2,11.95,104837,18346,524,['Common (100%)']
Desert,Winter,Mid Level 2,13.93,89935,35974,299,['Rare (100%)']
Cave (Leafy),Spring,Mid Level 2,17.61,71146,17075,569,['Common (100%)']
Cave (Leafy),Summer,Mid Level 2,16.13,77670,19972,443,['Uncommon (100%)']
Cave (Leafy),Autumn,Mid Level 2,17.51,71552,17172,572,['Common (100%)']
Cave (Leafy),Winter,Mid Level 2,17.5,71593,17182,572,['Common (100%)']
Cave (Ice),Spring,Mid Level 2,16.55,75721,54807,144,['Legendary (100%)']
Cave (Ice),Summer,Mid Level 2,17.53,71470,17153,571,['Common (100%)']
Cave (Ice),Autumn,Mid Level 2,16.21,77287,19874,441,['Uncommon (100%)']
Cave (Ice),Winter,Mid Level 2,16.18,77430,19911,442,['Uncommon (100%)']
Cave (Lava),Spring,Mid Level 2,15.11,82912,19346,552,['Common (100%)']
Cave (Lava),Summer,Mid Level 2,15.17,82597,36343,330,['Rare (100%)']
Cave (Lava),Autumn,Mid Level 2,15.28,82003,36081,328,['Rare (100%)']
Cave (Lava),Winter,Mid Level 2,17.03,73576,46248,210,['Epic (100%)']
Cave (Ash),Spring,Mid Level 2,15.17,82584,19270,550,['Common (100%)']
Cave (Ash),Summer,Mid Level 2,15.18,82530,22696,412,['Uncommon (100%)']
Cave (Ash),Autumn,Mid Level 2,15.16,82639,19282,550,['Common (100%)']
Cave (Ash),Winter,Mid Level 2,15.15,82693,19295,551,['Common (100%)']
Small Water Area,Spring,Mid Level 3,18.55,67536,22512,450,['Uncommon (100%)']
Small Water Area,Summer,Mid Level 3,21.09,59403,17821,594,['Common (100%)']
Small Water Area,Autumn,Mid Level 3,16.7,75018,50012,250,['Epic (100%)']
Small Water Area,Winter,Mid Level 3,21.05,59515,17855,595,['Common (100%)']
Beach,Spring,Mid Level 3,14.72,85113,42556,405,['Rare (100%)']
Beach,Summer,Mid Level 3,18.02,69522,18961,632,['Common (100%)']
Beach,Autumn,Mid Level 3,18.15,69024,18825,627,['Common (100%)']
Beach,Winter,Mid Level 3,18.09,69253,18887,629,['Common (100%)']
Desert,Spring,Mid Level 3,12.02,104226,18240,521,['Common (100%)']
Desert,Summer,Mid Level 3,30.05,41691,33352,69,['Legendary (100%)']
Desert,Autumn,Mid Level 3,11.98,104574,18301,522,['Common (100%)']
Desert,Winter,Mid Level 3,11.93,105013,18377,525,['Common (100%)']
Cave (Leafy),Spring,Mid Level 3,16.13,77670,19972,443,['Uncommon (100%)']
Cave (Leafy),Summer,Mid Level 3,17.47,71716,17212,573,['Common (100%)']
Cave (Leafy),Autumn,Mid Level 3,17.48,71675,17202,573,['Common (100%)']
Cave (Leafy),Winter,Mid Level 3,17.49,71634,17192,573,['Common (100%)']
Cave (Ice),Spring,Mid Level 3,16.25,77097,19825,440,['Uncommon (100%)']
Cave (Ice),Summer,Mid Level 3,17.51,71552,17172,572,['Common (100%)']
Cave (Ice),Autumn,Mid Level 3,15.5,80831,47255,248,['Epic (100%)']
Cave (Ice),Winter,Mid Level 3,17.49,71634,17192,573,['Common (100%)']
Cave (Lava),Spring,Mid Level 3,16.57,75619,47532,216,['Epic (100%)']
Cave (Lava),Summer,Mid Level 3,15.28,82003,36081,328,['Rare (100%)']
Cave (Lava),Autumn,Mid Level 3,15.36,81576,35893,326,['Rare (100%)']
Cave (Lava),Winter,Mid Level 3,16.92,74054,46548,211,['Epic (100%)']
Cave (Ash),Spring,Mid Level 3,15.08,83077,22846,415,['Uncommon (100%)']
Cave (Ash),Summer,Mid Level 3,15.15,82693,22741,413,['Uncommon (100%)']
Cave (Ash),Autumn,Mid Level 3,15.06,83187,22876,415,['Uncommon (100%)']
Cave (Ash),Winter,Mid Level 3,15.14,82748,19308,551,['Common (100%)']
Small Water Area,Spring,Mid Level 4,18.34,68310,22770,455,['Uncommon (100%)']
Small Water Area,Summer,Mid Level 4,21.31,58789,17637,587,['Common (100%)']
Small Water Area,Autumn,Mid Level 4,16.53,75789,50526,252,['Epic (100%)']
Small Water Area,Winter,Mid Level 4,21.21,59066,17720,590,['Common (100%)']
Beach,Spring,Mid Level 4,14.75,84940,42470,404,['Rare (100%)']
Beach,Summer,Mid Level 4,18.2,68835,18773,625,['Common (100%)']
Beach,Autumn,Mid Level 4,18.07,69330,18908,630,['Common (100%)']
Beach,Winter,Mid Level 4,18.14,69062,18835,627,['Common (100%)']
Desert,Spring,Mid Level 4,11.86,105632,18486,528,['Common (100%)']
Desert,Summer,Mid Level 4,11.9,105277,18424,526,['Common (100%)']
Desert,Autumn,Mid Level 4,11.82,105990,18548,529,['Common (100%)']
Desert,Winter,Mid Level 4,11.99,104487,18285,522,['Common (100%)']
Cave (Leafy),Spring,Mid Level 4,17.6,71186,17085,569,['Common (100%)']
Cave (Leafy),Summer,Mid Level 4,16.13,77670,19972,443,['Uncommon (100%)']
Cave (Leafy),Autumn,Mid Level 4,17.49,71634,17192,573,['Common (100%)']
Cave (Leafy),Winter,Mid Level 4,17.51,71552,17172,572,['Common (100%)']
Cave (Ice),Spring,Mid Level 4,17.54,71430,17143,571,['Common (100%)']
Cave (Ice),Summer,Mid Level 4,17.5,71593,17182,572,['Common (100%)']
Cave (Ice),Autumn,Mid Level 4,16.39,76460,55342,145,['Legendary (100%)']
Cave (Ice),Winter,Mid Level 4,16.13,77670,19972,443,['Uncommon (100%)']
Cave (Lava),Spring,Mid Level 4,17.01,73663,46302,210,['Epic (100%)']
Cave (Lava),Summer,Mid Level 4,15.65,80064,35228,320,['Rare (100%)']
Cave (Lava),Autumn,Mid Level 4,15.18,82543,36319,330,['Rare (100%)']
Cave (Lava),Winter,Mid Level 4,15.41,81311,35777,325,['Rare (100%)']
Cave (Ash),Spring,Mid Level 4,15.25,82151,22591,410,['Uncommon (100%)']
Cave (Ash),Summer,Mid Level 4,15.36,81576,35893,326,['Rare (100%)']
Cave (Ash),Autumn,Mid Level 4,15.15,82693,22741,413,['Uncommon (100%)']
Cave (Ash),Winter,Mid Level 4,15.23,82259,19194,548,['Common (100%)']
Small Water Area,Spring,Mid Level 5,21.26,58928,17678,589,['Common (100%)']
Small Water Area,Summer,Mid Level 5,17.14,73092,36546,365,['Rare (100%)']
Small Water Area,Autumn,Mid Level 5,16.42,76297,50865,254,['Epic (100%)']
Small Water Area,Winter,Mid Level 5,21.3,58817,17645,588,['Common (100%)']
Beach,Spring,Mid Level 5,14.6,85812,42906,408,['Rare (100%)']
Beach,Summer,Mid Level 5,18.12,69139,18856,628,['Common (100%)']
Beach,Autumn,Mid Level 5,18.14,69062,18835,627,['Common (100%)']
Beach,Winter,Mid Level 5,18.03,69484,18950,631,['Common (100%)']
Desert,Spring,Mid Level 5,11.76,106531,18643,532,['Common (100%)']
Desert,Summer,Mid Level 5,14.06,89104,35642,297,['Rare (100%)']
Desert,Autumn,Mid Level 5,13.0,96385,23132,385,['Uncommon (100%)']
Desert,Winter,Mid Level 5,11.86,105632,18486,528,['Common (100%)']
Cave (Leafy),Spring,Mid Level 5,16.19,77383,19898,442,['Uncommon (100%)']
Cave (Leafy),Summer,Mid Level 5,16.15,77574,19948,443,['Uncommon (100%)']
Cave (Leafy),Autumn,Mid Level 5,17.48,71675,17202,573,['Common (100%)']
Cave (Leafy),Winter,Mid Level 5,16.09,77864,20022,444,['Uncommon (100%)']
Cave (Ice),Spring,Mid Level 5,16.29,76908,19776,439,['Uncommon (100%)']
Cave (Ice),Summer,Mid Level 5,17.57,71308,17114,570,['Common (100%)']
Cave (Ice),Autumn,Mid Level 5,16.21,77287,19874,441,['Uncommon (100%)']
Cave (Ice),Winter,Mid Level 5,17.59,71227,17094,569,['Common (100%)']
Cave (Lava),Spring,Mid Level 5,16.74,74851,47049,213,['Epic (100%)']
Cave (Lava),Summer,Mid Level 5,15.4,81364,35800,325,['Rare (100%)']
Cave (Lava),Autumn,Mid Level 5,15.37,81522,35870,326,['Rare (100%)']
Cave (Lava),Winter,Mid Level 5,16.54,75756,47618,216,['Epic (100%)']
Cave (Ash),Spring,Mid Level 5,15.31,81829,22503,409,['Uncommon (100%)']
Cave (Ash),Summer,Mid Level 5,15.49,80891,35592,323,['Rare (100%)']
Cave (Ash),Autumn,Mid Level 5,15.22,82313,22636,411,['Uncommon (100%)']
Cave (Ash),Winter,Mid Level 5,15.06,83187,19410,554,['Common (100%)']
Small Water Area,Spring,Ending Level,18.4,68087,22696,453,['Uncommon (100%)']
Small Water Area,Summer,Ending Level,21.2,59094,17728,590,['Common (100%)']
Small Water Area,Autumn,Ending Level,18.47,67829,22610,452,['Uncommon (100%)']
Small Water Area,Winter,Ending Level,21.17,59178,17753,591,['Common (100%)']
Beach,Spring,Ending Level,14.71,85171,42585,405,['Rare (100%)']
Beach,Summer,Ending Level,18.1,69215,18877,629,['Common (100%)']
Beach,Autumn,Ending Level,18.22,68759,18752,625,['Common (100%)']
Beach,Winter,Ending Level,14.6,85812,42906,408,['Rare (100%)']
Desert,Spring,Ending Level,28.75,43576,34861,72,['Legendary (100%)']
Desert,Summer,Ending Level,14.11,88788,35515,295,['Rare (100%)']
Desert,Autumn,Ending Level,11.85,105722,18501,528,['Common (100%)']
Desert,Winter,Ending Level,12.02,104226,18240,521,['Common (100%)']
Cave (Leafy),Spring,Ending Level,16.14,77622,19960,443,['Uncommon (100%)']
Cave (Leafy),Summer,Ending Level,17.5,71593,17182,572,['Common (100%)']
Cave (Leafy),Autumn,Ending Level,17.52,71511,17163,572,['Common (100%)']
Cave (Leafy),Winter,Ending Level,17.44,71839,17241,574,['Common (100%)']
Cave (Ice),Spring,Ending Level,17.49,71634,17192,573,['Common (100%)']
Cave (Ice),Summer,Ending Level,17.48,71675,17202,573,['Common (100%)']
Cave (Ice),Autumn,Ending Level,16.25,77097,19825,440,['Uncommon (100%)']
Cave (Ice),Winter,Ending Level,16.28,76955,19788,439,['Uncommon (100%)']
Cave (Lava),Spring,Ending Level,16.36,76589,48142,218,['Epic (100%)']
Cave (Lava),Summer,Ending Level,15.41,81311,35777,325,['Rare (100%)']
Cave (Lava),Autumn,Ending Level,15.08,83090,36560,332,['Rare (100%)']
Cave (Lava),Winter,Ending Level,15.51,80787,35546,323,['Rare (100%)']
Cave (Ash),Spring,Ending Level,15.09,83022,22831,415,['Uncommon (100%)']
Cave (Ash),Summer,Ending Level,21.85,57341,45873,104,['Legendary (100%)']
Cave (Ash),Autumn,Ending Level,15.09,83022,22831,415,['Uncommon (100%)']
Cave (Ash),Winter,Ending Level,15.15,82693,19295,551,['Common (100%)']
